"Library","analysis","date","description","perfomed_by","samples"
36,"RNAseq","7/7/2023","Pz + CT IMTC_6","imtc","BrDg2530;BrDg2531;BrDg2542;BrDg2543;BrDg2618;BrDg2626;BrDg2636;BrDg2639;BrDg2643;BrDg2645;BrDg2648;BrDg2653;BrDg2654;BrDg2655;BrDg2656;BrDg2659;BrDg2661;BrDg2662;BrDg2663;BrDg2664;BrDg2665;BrDg2666;BrDg2667;BrDg2669;BrDg2670;BrDg2671;BrDg2672;BrDg2673;BrDg2674;BrDg2675;BrDg2676;BrDg2677;BrDg2678;BrDg2679;BrDg2685;BrDg2686;BrDg2689;BrDg2690;BrDg2692;BrDg2693;BrDg2694;BrDg2695;BrDg2696;BrDg2697;BrDg2698;BrDg2699;BrDg2700;BrDg2701"
37,"WES","9/6/2023","EM","imtc","BrDg2140;BrDg2504;EM027;EM087;EM122;EM123;EM156;EM157;EM158;EM159;EM160;EM177;EM259;EM333;EM335;EM349;EM354;EM356;EM384;EM712;EM715;EM719;EM720;EM721"
38,"WES","10/6/2023","EM","imtc","EM243;EM244;EM521;EM664;EM826;EM827;EM828;EM829;EM830;EM831;EM832;EM833;EM834;EM835;EM836;EM837;EM838;EM839;EM847;EM848;EM849;EM850;EM856;EM792"
39,"WES","10/25/2023","EM + DG (Ab-Adriana)","imtc","EM708;EM825;EM841;EM864;EM865;EM866;EM867;EM868;EM869;EM872;EM873;DG2582;DG2599;DG2606;DG2645;DG2650;DG2654;DG2655;DG2656;DG2674;DG2675;DG2676;DG2677;DG2720"
40,"WES","11/22/2023","EM","imtc","EM398;EM707;EM713;EM717;EM842;EM843;EM868;EM890;EM895;EM896;EM897;EM898;EM899;EM902;EM903;EM904;EM905;EM910;EM911;EM916;EM917;EM918;EM919;EM920"
41,"RNAseq","12/5/2023","Pz + CT + Adriana + Marco Bianchi + Vasco","imtc","MLD-GT-MLD30-M0;MLD-GT-MLD30-M1;MLD-GT-MLD30-M2;MLD-GT-LIB001-M0;MLD-GT-LIB001-M1;MLD-GT-LIB001-M2;MLD-UT-LIB007;MLD-UT-LDM122;RNA-HD18-M0;RNA-HD18-M1;RNA-HD18-M2;RNA-HD26-M0;RNA-HD26-M1;RNA-HD26-M2;RNA-HD27-M0;RNA-HD27-M1;RNA-HD27-M2;MLD-UT-MLD27;MLD-UT-MLD27;Sample-1;Sample-2;BrDg2702;BrDg2703;BrDg2704;BrDg2705;BrDg2706;BrDg2707;BrDg2708;BrDg2709;BrDg2710;BrDg2711;BrDg2712;BrDg2713;BrDg2714;BrDg2715;BrDg2716;BrDg2717;BrDg2718;BrDg2719;BrDg2720;BrDg2721;BrDg2722;BrDg2723;BrDg2724;BrDg2728;BrDg2729;BrDg2730;BrDg2735"
42,"WES","12/18/2023","EM","imtc","EM730;EM757;EM760;EM763;EM764;EM822;EM902;EM903;EM904;EM926;EM935;EM937;EM946;EM947;EM948;EM950;EM951;EM952;EM953;EM954;EM955;EM956;EM957;EM958"
43,"WES","12/22/2024","EM","imtc","Dg2429;EM235;EM337;EM514;EM682;EM683;EM704;EM913;EM925;EM942;EM959;EM963;EM965;EM983;EM984;EM987;EM991;EM992;EM1002;EM1013;EM1017;EM1018;EM1019;EM1020"
44,"WES","6/4/2024","EM","imtc","EM205;EM210;EM500;EM592;EM615;EM678;EM862;EM928;EM974;EM977;EM978;EM985;EM988;EM993;EM995;EM998;EM88-24;EM91-24;EM153-24;EM154-24;EM163-24;EM167-24;EM169-24;EM174-24"
45,"WES-Twist","6/28/2024","EM","imtc","EM512;EM528;EM529;EM585;EM637;EM655;EM656;EM657;EM665;EM666;EM667;EM879;EM885;EM939;EM966;EM989;EM1009;EM1010;EM1011;EM1015;EM1016;EM83-24;EM121-24;EM122-24;EM137-24;EM192-24;EM201-24;EM204-24;EM205-24;EM163-24;EM167-24;EM169-24"
46,"WES","9/20/2024","EM","imtc","EM969;EM971;EM999;EM1000;EM1001;EM1008;EM1012;EM64-24;EM67-24;EM70-24;EM78-24;EM79-24;EM82-24;EM92-24;EM93-24;EM95-24;EM131-24;EM133-24;EM134-24;EM143-24;EM151-24;EM245-24;EM246-24;EM268-24"
47,"RNAseq","11/5/2024","Serie 4 AC16 Marco","imtc","AC16 LVX N3 CT 12h Ischemia;AC16 LVX N3 CT + doxy 12h Ischemia;AC16 LVX N3 12h Ischemia;AC16 LVX N3 12h Ischemia + doxy ;AC16 LVX N3 CT 1h IR;AC16 LVX N3 CT + doxy 1h IR;AC16 LVX N3 1h IR;AC16 LVX N3 1h IR + doxy ;AC16 LVX N3 CT 3h IR;AC16 LVX N3 CT + doxy 3h IR;AC16 LVX N3 3h IR;AC16 LVX N3 3h IR + doxy ;AC16 LVX N3 CT 6h IR;AC16 LVX N3 CT + doxy 6h IR;AC16 LVX N3 6h IR;AC16 LVX N3 6h IR + doxy ;AC16 WT CT 12h Ischemia;AC16 WT CT + doxy 12h Ischemia;AC16 WT 12h Ischemia;AC16 WT 12h Ischemia + doxy ;AC16 WT CT 1h IR;AC16 WT CT + doxy 1h IR;AC16 WT 1h IR;AC16 WT 1h IR + doxy ;AC16 WT CT 3h IR;AC16 WT CT + doxy 3h IR;AC16 WT 3h IR;AC16 WT 3h IR + doxy ;AC16 WT CT 6h IR;AC16 WT CT + doxy 6h IR;AC16 WT 6h IR;AC16 WT 6h IR + doxy "
48,"RNAseq","11/14/2024","Serie 5 AC16 Marco","imtc","AC16 LVX N3 CT 12h Ischemia;AC16 LVX N3 CT + doxy 12h Ischemia;AC16 LVX N3 12h Ischemia;AC16 LVX N3 12h Ischemia + doxy ;AC16 LVX N3 CT 1h IR;AC16 LVX N3 CT + doxy 1h IR;AC16 LVX N3 1h IR;AC16 LVX N3 1h IR + doxy ;AC16 LVX N3 CT 3h IR;AC16 LVX N3 CT + doxy 3h IR;AC16 LVX N3 3h IR;AC16 LVX N3 3h IR + doxy ;AC16 LVX N3 CT 6h IR;AC16 LVX N3 CT + doxy 6h IR;AC16 LVX N3 6h IR;AC16 LVX N3 6h IR + doxy ;AC16 WT CT 12h Ischemia;AC16 WT CT + doxy 12h Ischemia;AC16 WT 12h Ischemia;AC16 WT 12h Ischemia + doxy ;AC16 WT CT 1h IR;AC16 WT CT + doxy 1h IR;AC16 WT 1h IR;AC16 WT 1h IR + doxy ;AC16 WT CT 3h IR;AC16 WT CT + doxy 3h IR;AC16 WT 3h IR;AC16 WT 3h IR + doxy ;AC16 WT CT 6h IR;AC16 WT CT + doxy 6h IR;AC16 WT 6h IR;AC16 WT 6h IR + doxy "
49,"WES","11/26/2024","EM","imtc","EM166;EM543;EM938;EM73-24;EM114-24;EM127-24;EM128-24;EM132-24;EM139-24;EM140-24;EM142-24;EM197-24;EM267-24;EM273-24;EM277-24;EM281-24;EM282-24;EM290-24;EM291-24;EM292-24;EM308-24;EM309-24;EM318-24;EM337-24"
50,"WES","2/5/2025","EM","imtc","EM01-25;EM02-25;EM03-25;EM05-25;EM12-25;EM13-25;EM14-25;EM15-25;EM180-24;EM181-24;EM210-24;EM211-24;EM212-24;EM213-24;EM222-24;EM223-24;EM283-24;EM314-24;EM931;EM302-24;EM303-24;EM305-24;EM330-24;EM329-24"
