225,40,146,106,-93,-33,126,106,346,253,240,200,120
226,46,150,104,-98,-29,126,106,333,253,246,200,120
227,46,146,100,-96,-26,122,120,320,253,240,200,120
228,46,146,100,-96,-26,122,106,326,260,246,200,120
229,53,153,100,-102,-24,126,106,320,266,253,213,120
230,56,157,101,-106,-22,129,120,333,266,260,206,133
231,53,153,100,-102,-24,126,120,333,253,253,213,133
232,44,150,106,-97,-32,128,106,340,273,260,220,133
233,40,146,106,-93,-33,126,106,360,280,266,226,133
234,44,150,106,-97,-32,128,120,360,280,273,220,146
235,33,146,113,-89,-40,129,120,360,280,266,226,146
236,42,156,113,-98,-36,134,106,353,286,273,233,153
237,40,166,126,-102,-44,146,106,360,293,280,240,160
238,33,164,130,-98,-49,146,113,360,306,293,240,160
239,26,160,133,-93,-53,146,106,360,306,293,240,160
240,46,173,126,-109,-40,149,106,373,306,293,260,180
241,46,180,133,-113,-44,156,106,386,306,293,266,186
242,53,189,136,-121,-41,162,100,393,306,293,260,180
243,53,200,146,-126,-46,173,93,400,320,306,266,186
244,53,200,146,-126,-46,173,93,406,320,313,273,193
245,53,200,146,-126,-46,173,93,400,320,320,280,200
246,46,202,156,-124,-54,178,93,400,326,320,280,193
247,46,206,160,-126,-57,182,93,400,346,320,293,200
248,53,210,157,-132,-52,184,80,386,346,333,286,200
249,60,206,146,-133,-44,176,80,386,346,333,280,200
250,60,213,153,-136,-46,182,80,400,346,326,293,213
251,66,213,146,-140,-40,180,80,413,346,333,293,213
252,57,213,156,-134,-49,184,80,413,360,340,293,213
253,53,213,160,-133,-53,186,80,413,360,346,306,213
254,66,220,153,-142,-44,186,80,433,353,346,306,213
255,60,226,166,-142,-53,196,80,440,360,360,306,226
256,73,236,162,-154,-45,198,86,433,360,360,320,226
257,80,240,160,-160,-40,200,93,440,373,360,320,240
258,77,246,169,-161,-46,208,86,446,373,366,313,240
259,80,253,173,-166,-46,213,80,453,373,360,320,240
260,80,250,170,-165,-45,210,80,460,366,360,320,233
261,86,246,160,-166,-37,202,80,453,360,360,320,226
262,84,244,160,-164,-38,201,86,460,360,360,326,240
263,86,246,160,-166,-37,202,93,480,360,373,346,240
264,82,246,164,-164,-41,205,100,500,373,380,346,253
265,86,246,160,-166,-37,202,106,506,373,386,346,253
266,90,246,156,-168,-33,201,106,500,380,386,346,260
267,93,253,160,-173,-33,206,106,506,386,400,360,280
268,86,253,166,-169,-40,209,106,500,386,400,360,280
269,93,253,160,-173,-33,206,106,493,400,400,373,280
270,97,262,165,-180,-34,213,113,513,400,406,373,293
271,93,266,173,-180,-40,220,120,520,400,400,373,293
272,93,269,176,-181,-41,222,106,533,393,400,366,293
273,93,273,180,-182,-44,226,106,533,386,400,373,293
274,93,270,177,-181,-42,224,106,540,393,413,380,306
275,100,273,173,-186,-37,222,106,560,400,413,386,293
276,109,282,173,-196,-32,228,100,560,400,420,393,306
277,113,280,166,-196,-26,222,93,573,413,426,400,306
278,113,277,164,-194,-25,220,100,586,413,440,406,306
279,113,280,166,-196,-26,222,106,586,413,440,400,306
280,106,286,180,-196,-37,233,106,586,413,440,400,320
281,106,286,180,-196,-37,233,106,586,413,440,400,320
282,109,282,173,-196,-32,228,100,580,413,440,400,320
283,113,293,180,-202,-33,236,93,586,413,440,413,320
284,104,286,182,-194,-40,234,106,593,413,440,413,333
285,106,286,180,-196,-37,233,106,600,413,440,413,333
286,109,293,184,-201,-37,238,113,600,406,440,420,340
287,113,293,180,-202,-33,236,106,600,400,440,426,346
288,117,290,173,-204,-28,232,100,606,406,440,420,346
289,113,293,180,-202,-33,236,106,613,413,440,426,346
290,122,290,168,-206,-22,229,86,620,406,453,426,360
291,126,300,173,-213,-24,236,80,613,400,453,426,360
292,124,293,169,-208,-22,230,93,613,400,453,426,340
293,120,286,166,-202,-24,226,93,613,400,453,426,346
294,120,293,173,-206,-26,233,86,606,400,440,433,353
295,120,293,173,-206,-26,233,93,600,400,453,426,360
296,122,293,170,-208,-24,232,93,600,406,446,440,360
297,126,300,173,-213,-24,236,93,600,400,453,440,360
298,120,297,177,-208,-29,237,86,606,400,453,433,360
299,120,300,180,-209,-30,240,80,600,400,453,426,360
300,126,296,169,-210,-21,232,80,600,400,453,426,353
301,126,300,173,-213,-24,236,80,600,400,453,426,346
302,129,302,173,-216,-22,237,73,593,400,453,433,353
303,133,313,180,-222,-24,246,66,600,400,453,440,360
304,130,309,178,-220,-24,244,66,600,393,446,426,353
305,126,313,186,-220,-30,249,80,613,400,440,426,346
306,130,313,182,-221,-26,248,80,606,393,446,420,346
307,126,313,186,-220,-30,249,80,613,386,440,413,346
308,126,304,177,-214,-25,240,66,600,386,440,420,346
309,126,306,180,-216,-26,242,66,613,386,440,426,333
310,129,309,180,-218,-25,244,73,593,380,433,406,353
311,133,306,173,-220,-20,240,66,586,386,440,400,346
312,120,300,180,-209,-30,240,66,586,393,446,400,340
313,113,300,186,-206,-37,242,66,573,386,440,400,333
314,126,302,176,-214,-25,238,60,573,380,433,406,340
315,133,313,180,-222,-24,246,53,560,373,426,400,346
316,126,309,182,-217,-28,245,73,560,373,413,406,353
317,126,306,180,-216,-26,242,66,546,360,413,400,346
318,126,290,164,-208,-18,226,66,533,353,400,400,333
319,120,280,160,-200,-20,220,80,533,333,400,386,333
320,117,273,156,-194,-20,214,60,520,333,386,380,333
321,113,273,160,-193,-24,216,53,506,333,386,360,320
322,113,276,162,-194,-25,218,60,493,333,366,360,306
323,113,273,160,-193,-24,216,66,493,320,360,346,306
324,106,270,164,-188,-29,217,66,480,320,346,346,286
325,106,260,153,-182,-24,206,66,466,306,346,333,280
326,97,262,165,-180,-34,213,66,446,306,333,333,280
327,86,260,173,-173,-44,216,66,440,306,333,320,266
328,86,256,169,-170,-41,212,60,420,293,320,306,253
329,86,260,173,-173,-44,216,66,400,293,306,306,240
330,82,253,170,-168,-44,212,60,386,280,306,293,240
331,80,246,166,-162,-44,206,53,373,280,293,280,226
332,77,237,160,-157,-41,198,66,353,266,293,266,213
333,66,233,166,-149,-50,200,66,346,266,280,266,213
334,66,229,162,-148,-48,196,60,346,260,266,260,213
335,66,226,160,-146,-46,193,80,346,266,266,253,213
336,53,222,169,-137,-58,196,86,340,246,253,240,193
337,53,220,166,-136,-57,193,93,333,240,253,240,186
338,44,197,153,-120,-54,174,80,313,233,240,220,166
339,26,186,160,-106,-66,173,66,293,213,226,200,160
340,29,182,153,-105,-62,168,66,300,220,213,206,153
341,26,180,153,-102,-64,166,66,293,213,213,200,160
342,20,180,160,-100,-70,169,66,280,213,220,200,146
343,20,173,153,-96,-66,162,66,280,213,213,186,146
344,13,166,153,-89,-70,160,66,260,200,193,180,133
345,13,160,146,-86,-66,153,66,240,200,186,173,133
346,9,156,146,-82,-69,150,53,246,180,173,160,120
347,13,153,140,-82,-64,146,66,240,173,173,146,120
348,16,144,128,-80,-56,136,60,226,166,153,146,120
349,20,133,113,-76,-46,122,53,226,146,133,133,106
350,16,124,108,-69,-46,116,53,213,133,133,120,86
351,20,120,100,-69,-40,109,53,213,133,120,120,80
352,20,106,86,-62,-33,96,33,200,120,120,100,66
353,20,106,86,-62,-33,96,40,186,120,120,93,66
354,17,109,92,-62,-37,100,33,186,120,106,93,73
355,13,106,93,-60,-40,100,40,173,120,106,80,66
356,16,109,93,-62,-38,101,46,173,120,93,80,46
357,13,106,93,-60,-40,100,40,160,106,93,66,40
358,10,93,82,-52,-36,88,40,166,100,73,53,40
359,0,80,80,-40,-40,80,40,160,93,66,53,26
360,-2,77,80,-37,-41,78,40,166,86,73,53,26
361,-6,73,80,-33,-44,76,40,160,93,66,40,13
362,-13,76,89,-30,-52,82,33,153,100,66,46,13
363,-13,80,93,-33,-53,86,40,146,93,53,53,13
364,-13,70,84,-28,-49,77,40,133,93,53,40,6
365,-13,66,80,-26,-46,73,40,133,93,53,40,13
366,-10,66,77,-28,-44,72,40,120,73,40,26,6
367,-13,53,66,-20,-40,60,40,120,66,40,26,0
368,-20,46,66,-13,-44,56,40,100,66,40,26,-13
369,-26,40,66,-6,-46,53,40,93,66,40,26,-13
370,-26,33,60,-2,-44,46,46,93,60,26,13,-6
371,-33,20,53,6,-44,36,53,80,53,26,13,-13
372,-42,13,56,14,-49,34,53,80,53,26,13,-13
373,-40,13,53,13,-46,33,53,66,53,13,13,-13
374,-40,10,50,14,-45,30,46,73,46,13,0,-6
375,-46,6,53,20,-50,29,40,80,53,13,0,-13
376,-42,9,52,17,-48,30,40,73,53,20,0,-13
377,-53,6,60,24,-57,33,40,80,53,13,0,-13
378,-46,-2,44,25,-45,20,40,73,53,13,0,-20
379,-46,-6,40,26,-44,16,40,66,53,13,0,-26
380,-56,-6,49,32,-53,21,40,80,53,6,-20,-26
381,-60,-6,53,33,-57,22,40,66,40,0,-13,-26
382,-44,-6,37,25,-41,14,26,53,40,6,-26,-26
383,-33,-6,26,20,-30,9,40,40,40,0,-26,-26
384,-33,-6,26,20,-30,9,40,46,40,0,-20,-26
385,-40,-6,33,24,-37,13,40,40,40,0,-13,-40
386,-42,-13,29,28,-36,8,40,40,26,-6,-26,-40
387,-40,-6,33,24,-37,13,40,40,26,-13,-26,-40
388,-40,-22,17,32,-29,-2,40,40,33,-6,-20,-40
389,-46,-26,20,37,-33,-4,40,40,40,0,-13,-40
390,-42,-16,26,29,-34,5,40,33,33,0,-20,-40
391,-46,-13,33,30,-40,9,40,40,26,-13,-26,-40
392,-44,-13,30,29,-37,8,33,40,46,-6,-26,-46
393,-40,-20,20,30,-30,0,26,40,53,-13,-26,-53
394,-40,-17,22,29,-32,2,33,40,40,-6,-26,-53
395,-46,-20,26,33,-37,2,26,40,40,-13,-26,-53
396,-37,-26,10,32,-24,-8,40,26,40,-13,-26,-46
397,-40,-26,13,33,-26,-6,40,26,40,-13,-26,-53
398,-46,-24,22,36,-34,-1,40,26,33,-13,-26,-40
